OrphaCode,DiseaseName,GeneSymbol,GeneId
47,X-linked agammaglobulinemia,BTK,15383
905,Wilson disease,ATP7B,15330
792,X-linked retinoschisis,RS1,15232
827,Stargardt disease,CNGB3,15759
827,Stargardt disease,PRPH2,15152
827,Stargardt disease,ABCA4,15050
827,Stargardt disease,ELOVL4,15972
827,Stargardt disease,PROM1,17406
906,Wiskott-Aldrich syndrome,WAS,15715
904,Williams syndrome,STX1A,22536
904,Williams syndrome,TBL2,15582
904,Williams syndrome,GTF2IRD2,29920
904,Williams syndrome,VPS37D,29909
904,Williams syndrome,FKBP6,29908
904,Williams syndrome,RFC2,15201
904,Williams syndrome,NCF1,16519
904,Williams syndrome,TMEM270,29919
904,Williams syndrome,EIF4H,29915
904,Williams syndrome,DNAJC30,29910
904,Williams syndrome,METTL27,29918
904,Williams syndrome,BUD23,29917
904,Williams syndrome,BAZ1B,15351
904,Williams syndrome,CLIP2,15750
904,Williams syndrome,ELN,15971
904,Williams syndrome,GTF2I,16174
904,Williams syndrome,GTF2IRD1,16175
904,Williams syndrome,LIMK1,16358
280,Wolf-Hirschhorn syndrome,PIGG,25819
280,Wolf-Hirschhorn syndrome,CPLX1,25557
280,Wolf-Hirschhorn syndrome,CTBP1,29802
280,Wolf-Hirschhorn syndrome,NSD2,15722
280,Wolf-Hirschhorn syndrome,NELFA,15723
280,Wolf-Hirschhorn syndrome,LETM1,20853
15,Achondroplasia,FGFR3,16047
96,Ataxia with vitamin E deficiency,TTPA,15673
101,Dentatorubral pallidoluysian atrophy,ATN1,15963
276,T-B+ severe combined immunodeficiency due to gamma chain deficiency,IL2RG,16257
481,Kennedy disease,AR,16667
664,Ornithine transcarbamylase deficiency,OTC,16597
394,Homocystinuria due to cystathionine beta-synthase deficiency,CBS,15404
508,Donohue syndrome,INSR,16263
163596,Hemoglobin Bart's fetalis syndrome,HBA2,16185
163596,Hemoglobin Bart's fetalis syndrome,HBA1,16819
429,Hypochondroplasia,FGFR3,16047
104,Leber hereditary optic neuropathy,NDUFS2,16527
104,Leber hereditary optic neuropathy,DNAJC30,29910
104,Leber hereditary optic neuropathy,MT-ATP6,16470
104,Leber hereditary optic neuropathy,MT-CO1,16471
104,Leber hereditary optic neuropathy,MT-CO3,16473
104,Leber hereditary optic neuropathy,MT-CYB,16474
104,Leber hereditary optic neuropathy,MT-ND1,16478
104,Leber hereditary optic neuropathy,MT-ND2,16479
104,Leber hereditary optic neuropathy,MT-ND4,16481
104,Leber hereditary optic neuropathy,MT-ND4L,16482
104,Leber hereditary optic neuropathy,MT-ND5,16483
104,Leber hereditary optic neuropathy,MT-ND6,16484
2182,Hydrocephalus with stenosis of the aqueduct of Sylvius,L1CAM,16330
163634,Maffucci syndrome,IDH2,19506
163634,Maffucci syndrome,IDH1,21083
163717,Familial mesial temporal lobe epilepsy,CPA6,15792
649,Norrie disease,NDP,16523
163727,Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome,TBC1D24,19324
163721,Rolandic epilepsy-speech dyspraxia syndrome,SRPX2,15557
163721,Rolandic epilepsy-speech dyspraxia syndrome,GRIN2A,20706
163684,Leukoencephalopathy-dystonia-motor neuropathy syndrome,SCP2,17584
163681,CNTNAP2-related developmental and epileptic encephalopathy,CNTNAP2,17587
379,Chronic granulomatous disease,CYBB,15831
379,Chronic granulomatous disease,NCF1,16519
379,Chronic granulomatous disease,NCF2,16520
379,Chronic granulomatous disease,CYBA,16827
379,Chronic granulomatous disease,NCF4,18486
379,Chronic granulomatous disease,CYBC1,27773
16,Blue cone monochromatism,OPN1MW,16593
16,Blue cone monochromatism,OPN1LW,16592
644,NARP syndrome,MT-ATP6,16470
163699,Alveolar soft tissue sarcoma,TFE3,15603
163699,Alveolar soft tissue sarcoma,ASPSCR1,17758
637,Full NF2-related schwannomatosis,NF2,16543
163696,Action myoclonus-renal failure syndrome,SCARB2,17585
181,X-linked hypohidrotic ectodermal dysplasia,EDA,15908
181,X-linked hypohidrotic ectodermal dysplasia,EDA2R,21837
163693,2p21 microdeletion syndrome,SLC3A1,16449
163693,2p21 microdeletion syndrome,PREPL,17586
163693,2p21 microdeletion syndrome,CAMKMT,19495
163693,2p21 microdeletion syndrome,PPM1B,19496
163690,Hypotonia-cystinuria syndrome,SLC3A1,16449
163690,Hypotonia-cystinuria syndrome,PREPL,17586
337,Fibrodysplasia ossificans progressiva,ACVR1,15078
377,Gorlin syndrome,PTCH1,15164
377,Gorlin syndrome,SUFU,15569
377,Gorlin syndrome,PTCH2,15165
648,Noonan syndrome,RRAS,24877
648,Noonan syndrome,MRAS,27082
648,Noonan syndrome,SPRED2,31369
648,Noonan syndrome,RRAS2,27286
648,Noonan syndrome,PTPN11,15170
648,Noonan syndrome,CBL,19464
648,Noonan syndrome,SOS1,15537
648,Noonan syndrome,KRAS,16312
648,Noonan syndrome,RAF1,16828
648,Noonan syndrome,NRAS,18962
648,Noonan syndrome,RIT1,22243
648,Noonan syndrome,LZTR1,22431
648,Noonan syndrome,RASA2,23010
648,Noonan syndrome,SOS2,23280
648,Noonan syndrome,BRAF,15376
281,Monosomy 5p syndrome,SEMA5A,17200
281,Monosomy 5p syndrome,CTNND2,17342
752,"46,XY difference of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency",HSD17B3,16224
510,Lesch-Nyhan syndrome,HPRT1,16214
524,Li-Fraumeni syndrome,CDKN2A,15426
524,Li-Fraumeni syndrome,MDM2,21735
524,Li-Fraumeni syndrome,TP53,15644
524,Li-Fraumeni syndrome,CHEK2,15444
640,Hereditary neuropathy with liability to pressure palsies,PMP22,15114
640,Hereditary neuropathy with liability to pressure palsies,PMP22,15114
60,Alpha-1-antitrypsin deficiency,SERPINA1,15271
895,Waardenburg syndrome type 2,KITLG,18457
895,Waardenburg syndrome type 2,TYR,15677
895,Waardenburg syndrome type 2,SNAI2,15530
895,Waardenburg syndrome type 2,SOX10,15538
895,Waardenburg syndrome type 2,MITF,16402
895,Waardenburg syndrome type 2,EDNRB,15912
896,Waardenburg syndrome type 3,PAX3,16611
857,Townes-Brocks syndrome,SALL1,15241
857,Townes-Brocks syndrome,DACT1,21552
894,Waardenburg syndrome type 1,PAX3,16611
682,Hyperkalemic periodic paralysis,SCN4A,15253
800,Schwartz-Jampel syndrome,HSPG2,16234
628,Diastrophic dysplasia,SLC26A2,15315
681,Hypokalemic periodic paralysis,SCN4A,15253
681,Hypokalemic periodic paralysis,CACNA1S,15394
